Id,Title,Description,Publisher,Author,Isbn,Edition,Released year,Retail price,University,Image,Created at,Updated at,Department,Semester,Pages
15,Networking,,Techmax,Pawar Alok,81-P494,,,210,Pune University,/uploads/book/image/15/networking23c6a218-5945-4477-8696-4cf8bf2e3783.jpg,2014-06-26 03:03:24 UTC,2014-06-26 03:03:24 UTC,Bachelor of Computer Application (BCA),4,
16,Human Resource Management,,Techmax,Netra Neelam,,,,135,Pune University,/uploads/book/image/16/human_resource_management38c6fa52-3046-43f6-94b4-701f28495f3e.jpg,2014-06-26 03:03:25 UTC,2014-06-26 03:03:25 UTC,Bachelor of Computer Application (BCA),4,
17,Object Oriented Programming Using C,,Techmax,Pawar Alok,81-P503,,,245,Pune University,/uploads/book/image/17/obj_orien_programming_using_c902e39fa-1462-4eef-abf6-400b12edf405.jpg,2014-06-26 03:03:26 UTC,2014-06-26 03:03:26 UTC,Bachelor of Computer Application (BCA),4,
18,Software Testing and Quality Assurance,,Techmax,Padmawar Neelima V.,978-81-8492-970-6,,,190,Pune University,/uploads/book/image/18/software_testing_and_quality_assuranceb2ea4dc5-e152-44b8-80b2-c9f25f88ba31.jpg,2014-06-26 03:03:26 UTC,2014-06-26 03:03:26 UTC,Master of Computer Application (MCA),4,
19,Java Programming,,Techmax,Alok Pawar,978-81-8492-966-9,,,210,Pune University,/uploads/book/image/19/java_programmingcf797018-2b49-4da5-9de2-0bf12f4cd406.jpg,2014-06-26 03:03:27 UTC,2014-06-26 03:03:27 UTC,Master of Computer Application (MCA),4,
20,Optimization Techniques,,Techmax,Jawale Satish,978-81-8492-971-3,,,215,Pune University,/uploads/book/image/20/optimization_techniques494bd312-25a1-4b43-83ff-c16bda834eaf.jpg,2014-06-26 03:03:28 UTC,2014-06-26 03:03:28 UTC,Master of Computer Application (MCA),4,
21,Object Oriented Analysis and Design,,Techmax,Brahme Ashwini,978-81-8492-945-4,,,180,Pune University,/uploads/book/image/21/object_oriented_analysis_and_designdb8ded18-42cd-4e21-9b6e-fd038b63455f.jpg,2014-06-26 03:03:29 UTC,2014-06-26 03:03:29 UTC,Master of Computer Application (MCA),4,
22,Engineering Mathematics II,,Techmax,Deo S. S.,978-93-5077-163-1,,,435,Pune University,/uploads/book/image/22/engineering_mathematics_ii6f4f5399-149c-4781-9bb3-0fba5b5f472b.jpg,2014-06-26 03:03:30 UTC,2014-06-26 03:03:30 UTC,First Year Engg (FE),2,
23,Engineering Graphics II,,Techmax,Kumar Arunoday,978-93-5077-164-8,,,135,Pune University,/uploads/book/image/23/engineering_graphics_iib312f490-4c47-4cf9-858b-8b4254aff041.jpg,2014-06-26 03:03:31 UTC,2014-06-26 03:03:31 UTC,First Year Engg (FE),2,
24,FE Online III,,Techmax,General,978-93-5077-167-9,,,265,Pune University,/uploads/book/image/24/fe_online__iiie2934192-baf6-4c6a-9b06-54dc654577e2.jpg,2014-06-26 03:03:32 UTC,2014-06-26 03:03:32 UTC,First Year Engg (FE),2,
25,Database Management System,,Techmax,Padmawar Neelima V.,978-93-5077-170-9,,,195,Pune University,/uploads/book/image/25/database_management_system5dc9f7ce-fa5f-4e13-ad18-e7d95baafd92.jpg,2014-06-26 03:03:32 UTC,2014-06-26 03:03:32 UTC,Master of Computer Application (MCA),2,
26,Operating System Concepts,,Techmax,Sultania Dilip Kumar,978-93-5077-171-6,,,145,Pune University,/uploads/book/image/26/operating_system_concepts702b45e0-43de-486b-80bf-383babaf8f61.jpg,2014-06-26 03:03:33 UTC,2014-06-26 03:03:33 UTC,Master of Computer Application (MCA),2,
27,Object Oriented Programming with C++,,Techmax,Alok Pawar,978-93-5077-180-8,,,235,Pune University,/uploads/book/image/27/object_oriented_programming_with_c%2B%2B77396632-db66-4cf7-9168-251255cf15b6.jpg,2014-06-26 03:03:34 UTC,2014-06-26 03:03:34 UTC,Master of Computer Application (MCA),2,
28,Management Information System & BI,,Techmax,Padmawar Neelima V.,978-93-5077-192-1,,,115,Pune University,/uploads/book/image/28/management_information_system___bied914e92-54ae-4750-ab5c-04a92baafe4a.jpg,2014-06-26 03:03:35 UTC,2014-06-26 03:03:35 UTC,Master of Computer Application (MCA),2,
29,Engineering Mathematics II,,Techmax,Deo S. S.,978-93-5077-163-1,,,435,Pune University,/uploads/book/image/29/engineering_mathematics_ii34ebff84-b162-4608-affa-7b8aab732a17.jpg,2014-06-26 03:03:36 UTC,2014-06-26 03:03:36 UTC,First Year Engg (FE),2,
30,Business Houses of India,,Techmax,Tapas Poornima,978-81-8407-896-1PE81A,,,350,Pune University,/uploads/book/image/30/business_houses_of_india37cfbd79-00b5-4e4f-9886-6957b29e4171.jpg,2014-06-26 03:03:37 UTC,2014-06-26 03:03:37 UTC,Common to All Branches,0,
31,Enterprise Resource Planning,,Techmax,Kulkarni S.,978-81-8407-897-8PME5A,,,110,Pune University,/uploads/book/image/31/enterprise_resource_planningf78758be-2406-48e7-a762-a179dde98343.jpg,2014-06-26 03:03:38 UTC,2014-06-26 03:03:38 UTC,Master of Computer Application (MCA),2,
32,Java Programming,,Techmax,Alok Pawar,978-81-8492-966-9,,,210,Pune University,/uploads/book/image/32/java_programming171443d3-422e-4757-9197-dfa13fb716f3.jpg,2014-06-26 03:03:39 UTC,2014-06-26 03:03:39 UTC,Master of Computer Application (MCA),4,
33,Communication Principles,,Techmax,Katre J. S.,81-P367,,,165,Pune University,/uploads/book/image/33/communication_principles6b2f281b-5c22-449d-9e66-298344cd315f.jpg,2014-06-26 03:03:39 UTC,2014-06-26 03:03:39 UTC,Computer Science (B.Sc.Comp.),1,
34,Data Structures using C,,Techmax,Sultania Dilip Kumar,81-P363,,,265,Pune University,/uploads/book/image/34/data_structures_using_c9ce77e55-7826-4246-bdc5-24ac3b0d9251.jpg,2014-06-26 03:03:40 UTC,2014-06-26 03:03:40 UTC,Computer Science (B.Sc.Comp.),1,
35,Linear Algebra,,Techmax,Langote U. B.,81-P390,,,225,Pune University,/uploads/book/image/35/linear_algebra94120fbc-cfc9-42eb-8822-b9cbcc7c57c0.jpg,2014-06-26 03:03:41 UTC,2014-06-26 03:03:41 UTC,Computer Science (B.Sc.Comp.),1,
36,Microprocessor Architecture & Programming.,,Techmax,Borkar Jaideep B.,81-P386,,,200,Pune University,/uploads/book/image/36/microprocessor_architecture___programming.9a205468-78b0-415e-b159-d766da5c3124.jpg,2014-06-26 03:03:42 UTC,2014-06-26 03:03:42 UTC,Computer Science (B.Sc.Comp.),1,
37,Numerical Analysis,,Techmax,Jawale Satish,81-P373,,,205,Pune University,/uploads/book/image/37/numerical_analysis1844d525-490b-40e3-8442-57b654a04c6c.jpg,2014-06-26 03:03:43 UTC,2014-06-26 03:03:43 UTC,Computer Science (B.Sc.Comp.),1,
38,Relational Database Management System (RDBMS),,Techmax,Pawar Alok,81-P387,,,185,Pune University,/uploads/book/image/38/rdbms620d473b-5368-489f-86c8-1ef11ded701a.jpg,2014-06-26 03:03:44 UTC,2014-06-26 03:03:44 UTC,Computer Science (B.Sc.Comp.),1,
39,Computer Network - I,,Techmax,Katre J. S.,81-P369,,,175,Pune University,/uploads/book/image/39/computer_network_-_i3425a44b-4391-4b08-b141-c3071e1d57a1.jpg,2014-06-26 03:03:45 UTC,2014-06-26 03:03:45 UTC,Computer Science (B.Sc.Comp.),3,
40,Object Oriented  Software  Engineering,,Techmax,Patil Sharada,81-P371,,,170,Pune University,/uploads/book/image/40/object_oriented__software__engineering35b1ac97-41f7-483b-8bd5-375a22956b57.jpg,2014-06-26 03:03:46 UTC,2014-06-26 03:03:46 UTC,Computer Science (B.Sc.Comp.),3,
41,Programming In Java - I,,Techmax,Alok Pawar,81-P393,,,195,Pune University,/uploads/book/image/41/programming_in_java_-_if9808416-5f52-4d51-b48c-7dffa7e90523.jpg,2014-06-26 03:03:46 UTC,2014-06-26 03:03:46 UTC,Computer Science (B.Sc.Comp.),3,
42,System Programming & Operating System-I,,Techmax,Patil Sharada,81-P388,,,190,Pune University,/uploads/book/image/42/system_programming___operating_system-icdd7684f-6ead-4f13-a847-8179b167d519.jpg,2014-06-26 03:03:47 UTC,2014-06-26 03:03:47 UTC,Computer Science (B.Sc.Comp.),3,
43,Theoretical Computer Science & Compiler Construction I,,Techmax,Sultania Dilip Kumar,978-81-8492-752-8,,,220,Pune University,/uploads/book/image/43/theoretical_computer_sci___compiler_construction_i43bdf6d3-8016-422c-9114-774c186a4b64.jpg,2014-06-26 03:03:48 UTC,2014-06-26 03:03:48 UTC,Computer Science (B.Sc.Comp.),3,
44,Web Development & PHP Programming I,,Techmax,Padmawar Neelima V.,81-P370,,,200,Pune University,/uploads/book/image/44/web_development___php_programming_id48b2a45-25aa-410b-897f-e8b14ae8561c.jpg,2014-06-26 03:03:49 UTC,2014-06-26 03:03:49 UTC,Computer Science (B.Sc.Comp.),3,
45,Basic Civil and Environmental Engineering,,Techmax,Londhe S. N.,978-93-5077-066-5,,,285,Pune University,/uploads/book/image/45/basic_civil_and_environmental_engineering93bc06a2-40bd-4bfd-9ae1-04b37a386f64.jpg,2014-06-26 03:03:50 UTC,2014-06-26 03:03:50 UTC,First Year Engg (FE),1,
46,Engineering Graphics - I,,Techmax,Kumar Arunoday,978-93-5077-062-7,,,445,Pune University,/uploads/book/image/46/engineering_graphics_-_iafec227d-a740-4cbd-baef-22158272f4af.jpg,2014-06-26 03:03:51 UTC,2014-06-26 03:03:51 UTC,First Year Engg (FE),1,
47,Experiment in Applied Physics,,Techmax,Mathkari Narendra L.,978-81-8492-521-0,,,140,Pune University,/uploads/book/image/47/experiment_in_applied_physicse457dcca-7f32-4f16-a4b6-e531c852ef7b.jpg,2014-06-26 03:03:52 UTC,2014-06-26 03:03:52 UTC,First Year Engg (FE),1,
48,Fundamentals of Programming Languages-I,,Techmax,Sultanpure Kavita,978-93-5077-072-6,,,225,Pune University,/uploads/book/image/48/fundamentals_of_programming_languages-i30b49ba6-e68b-4fab-a9c3-af38925c16ac.jpg,2014-06-26 03:03:53 UTC,2014-06-26 03:03:53 UTC,First Year Engg (FE),1,
49,Network Synthesis & Filter Design,,Techmax,Ahire D.B,978-93-5077-019-1,,,345,Pune University,/uploads/book/image/49/network_synthesis___filter_designe76e7fc2-f09c-4487-87ad-e21e2559af83.jpg,2014-06-26 03:03:53 UTC,2014-06-26 03:03:53 UTC,E & TC (ECE::E & TC),5,
50,Digital Signal Processing,,Techmax,Barapate R. A.,81-P427,,,515,Pune University,/uploads/book/image/50/digital_signal_processingf2f0b7da-880c-481e-8320-9e4f439cad05.jpg,2014-06-26 03:03:54 UTC,2014-06-26 03:03:54 UTC,E & TC (ECE::E & TC),5,
51,Control Systems,,Techmax,Theckedath Dhananjay,81-P442,,,515,Pune University,/uploads/book/image/51/control_systems31750139-fd1d-4875-98f7-514db08162e8.jpg,2014-06-26 03:03:55 UTC,2014-06-26 03:03:55 UTC,E & TC (ECE::E & TC),5,
52,Digital Communications,,Techmax,Katre J. S.,81-P374,,,435,Pune University,/uploads/book/image/52/digital_communicationsfeabf173-c6b0-4fe1-ab0e-a56c26db82ae.jpg,2014-06-26 03:03:56 UTC,2014-06-26 03:03:56 UTC,E & TC (ECE::E & TC),5,
53,Digital Image Processing(Image Processing),,Techmax,Theckedath Dhananjay,978-81-8492-883-9,,,395,Pune University,/uploads/book/image/53/digital_image_processing_image_processing_d969c90f-6109-4bc5-82e1-84cfff13f63c.jpg,2014-06-26 03:03:57 UTC,2014-06-26 03:03:57 UTC,Comp. Sc. Engg (CSE),7,
54,Database Management Systems,,Techmax,Sultania Dilip Kumar,81-P428,,,265,Pune University,/uploads/book/image/54/database_management_systems403e13e9-66df-4873-830e-288e51ae1056.jpg,2014-06-26 03:03:58 UTC,2014-06-26 03:03:58 UTC,Comp. Sc. Engg (CSE),5,
55,Microprocessors and Microcontrollers,,Techmax,Shah Urvashi S.,81-P412,,,415,Pune University,/uploads/book/image/55/microprocessors_and_microcontrollersb49c92ed-4266-44b7-8f67-f8407c50fcac.jpg,2014-06-26 03:03:59 UTC,2014-06-26 03:03:59 UTC,Comp. Sc. Engg (CSE),5,
56,Data Communications,,Techmax,Katre J. S.,81-P375,,,415,Pune University,/uploads/book/image/56/data_communications7cb52b50-c727-45ac-ae9c-7a85a1d60bee.jpg,2014-06-26 03:04:00 UTC,2014-06-26 03:04:00 UTC,Comp. Sc. Engg (CSE),5,
57,Theory of Computation,,Techmax,Sultania Dilip Kumar,81-P398,,,335,Pune University,/uploads/book/image/57/theory_of_computation8c742afd-ac29-409d-a405-29356ce7d0b9.jpg,2014-06-26 03:04:00 UTC,2014-06-26 03:04:00 UTC,Comp. Sc. Engg (CSE),5,
58,Object Oriented Modeling and Design,,Techmax,Ansari M. A.,978-81-8492-916-4,,,215,Pune University,/uploads/book/image/58/object_oriented_modeling_and_design24613d5c-f02b-4c64-b1c2-187ba518fa5c.jpg,2014-06-26 03:04:01 UTC,2014-06-26 03:04:01 UTC,Comp. Sc. Engg (CSE),7,
59,Artificial Intelligence,,Techmax,Potgantwar Amol,978-93-5077-092-4,,,235,Pune University,/uploads/book/image/59/artificial_intelligence7a2682aa-5b77-4460-ac32-8d1ee639d32f.jpg,2014-06-26 03:04:02 UTC,2014-06-26 03:04:02 UTC,Comp. Sc. Engg (CSE),7,
60,Computer Network Technology,,Techmax,Katre J. S.,81-P378,,,345,Pune University,/uploads/book/image/60/computer_network_technology07d6892a-5bcb-40db-80ab-bdfd33ff749f.jpg,2014-06-26 03:04:03 UTC,2014-06-26 03:04:03 UTC,Info. Tech (IT),5,
61,Object Oriented Modelling and Design,,Techmax,Ansari M. A.,978-81-8492-905-8,,,275,Pune University,/uploads/book/image/61/object_oriented_modelling_and_design455e78b4-1821-43d6-83d5-868361ea30b3.jpg,2014-06-26 03:04:04 UTC,2014-06-26 03:04:04 UTC,Info. Tech (IT),7,
62,Software Testing and Quality Assurance,,Techmax,Padmawar Neelima V.,978-81-8492-970-6,,,190,Pune University,/uploads/book/image/62/software_testing_and_quality_assuranced780fc06-6030-469e-81cf-4140c0f31768.jpg,2014-06-26 03:04:05 UTC,2014-06-26 03:04:05 UTC,Master of Computer Application (MCA),4,
63,Theory of Machines-II,,Techmax,Sayyed F.B.,81-P394,,,455,Pune University,/uploads/book/image/63/theory_of_machines-ii69f05768-4edd-4c6a-b43c-1ba1963fc955.jpg,2014-06-26 03:04:06 UTC,2014-06-26 03:04:06 UTC,Mechanical Engg (ME),5,
64,Dynamics of Machinery,,Techmax,Patil R. B.,978-81-8492-852-5,,,500,Pune University,/uploads/book/image/64/dynamics_of_machinery0907278c-9704-4702-8043-c6cc9169f054.jpg,2014-06-26 03:04:07 UTC,2014-06-26 03:04:07 UTC,Mechanical Engg (ME),7,
65,Tribology,,Techmax,Patil R. B.,978-81-8492-812-9,,,350,Pune University,/uploads/book/image/65/tribology9c675b12-d6ba-4341-90b6-bbc4c5e9812c.jpg,2014-06-26 03:04:07 UTC,2014-06-26 03:04:07 UTC,Mechanical Engg (ME),7,
66,CAD::Cam & Automation,,Techmax,Patil R. B.,978-81-8492-817-4,,,550,Pune University,/uploads/book/image/66/cam___automation10e93e00-dd3f-4dcb-ade8-fee6c1346081.jpg,2014-06-26 03:04:08 UTC,2014-06-26 03:04:08 UTC,Mechanical Engg (ME),7,
67,Industrial Fluid Power,,Techmax,Ashokkumar C.P.,978-81-8492-889-1,,,305,Pune University,/uploads/book/image/67/industrial_fluid_powerf53dff58-acd4-4d06-90fa-2090dc672fc9.jpg,2014-06-26 03:04:09 UTC,2014-06-26 03:04:09 UTC,Mechanical Engg (ME),7,
68,Structural Design I,,Techmax,Sajjan V  Wagh,978-93-5077-114-3,,,245,Pune University,/uploads/book/image/68/structural_design_i18d4a707-955d-4b54-a049-9c677c00ea4f.jpg,2014-06-26 03:04:10 UTC,2014-06-26 03:04:10 UTC,Civil Engg (CIVIL),5,
69,Microcontroller & its Applications,,Techmax,Shah Urvashi S.,81-P470,,,365,Pune University,/uploads/book/image/69/microcontroller___its_applications305a84ba-e7d0-49c9-af2b-188f1b6a5758.jpg,2014-06-26 03:04:11 UTC,2014-06-26 03:04:11 UTC,Electrical Engg (ELE),5,
70,Object Oriented Programming with C++,,Techmax,Alok Pawar,978-93-5077-180-8,,,235,Pune University,/uploads/book/image/70/object_oriented_programming_with_c%2B%2B3d0dcfb1-1bb0-4915-9c08-1a8d31f4ec52.jpg,2014-06-26 03:04:12 UTC,2014-06-26 03:04:12 UTC,Master of Computer Application (MCA),2,
71,C  Programming,,Techmax,Alok Pawar,978-81-8492-814-3,,,230,Pune University,/uploads/book/image/71/c__programmingd2a80b32-fa59-4bea-957b-d448e88ca484.jpg,2014-06-26 03:04:13 UTC,2014-06-26 03:04:13 UTC,Master of Computer Application (MCA),1,
72,Principles & Practices of Mgmt & Org  Behavior,,Techmax,Kiran Kute,978-93-5077-055-9,,,205,Pune University,/uploads/book/image/72/principles___practices_of_mgmt___org__behaviorb5ed4044-e135-4fe3-93f4-6b44a70326d3.jpg,2014-06-26 03:04:13 UTC,2014-06-26 03:04:13 UTC,Master of Computer Application (MCA),1,
73,Discrete Mathematics,,Techmax,Abhang RahulJ,978-93-5077-071-9,,,155,Pune University,/uploads/book/image/73/discrete_mathematics807ba9fa-a6e9-4fa1-855b-92d02b80145f.jpg,2014-06-26 03:04:14 UTC,2014-06-26 03:04:14 UTC,Master of Computer Application (MCA),1,
74,Computer Organisation,,Techmax,Padmawar Neelima V.,978-93-5077-089-4,,,175,Pune University,/uploads/book/image/74/computer_organisation8b70b38a-0ca0-4b9c-b61d-4da8424d996f.jpg,2014-06-26 03:04:15 UTC,2014-06-26 03:04:15 UTC,Master of Computer Application (MCA),1,
75,Human Computer Interface,,Techmax,Samrit Kirti,978-81-8492-790-0,,,155,Pune University,/uploads/book/image/75/human_computer_interface38ab70fa-ef93-402b-9432-6e591d0ce134.jpg,2014-06-26 03:04:16 UTC,2014-06-26 03:04:16 UTC,Master of Computer Application (MCA),5,
76,Emerging Trends in Information Technology,,Techmax,Kanade Anuradha,978-81-8492-785-6,,,195,Pune University,/uploads/book/image/76/emerging_trends_in_information_technology8f97a313-2f38-4f92-be10-ea3de5a0c59b.jpg,2014-06-26 03:04:17 UTC,2014-06-26 03:04:17 UTC,Master of Computer Application (MCA),5,
77,Advance Internet Technology,,Techmax,Padmawar Neelima V.,978-81-8492-777-1,,,210,Pune University,/uploads/book/image/77/advance_internet_technologyb979b4b0-137a-4171-afd2-37dd494313a1.jpg,2014-06-26 03:04:18 UTC,2014-06-26 03:04:18 UTC,Master of Computer Application (MCA),5,
78,Principles of Digital Electronics,,Techmax,Katre J. S.,978-93-5077-221-8,,,185,Pune University,/uploads/book/image/78/principles_of_digital_electronics7f32822e-aa27-4276-8fa0-3e1e571a641e.jpg,2014-06-26 03:04:19 UTC,2014-06-26 03:04:19 UTC,Computer Science (B.Sc.Comp.),0,
79,Principles of Analog Electronics,,Techmax,Katre J. S.,978-93-5077-222-5,,,205,Pune University,/uploads/book/image/79/principles_of_analog_electronicsd16324c3-4a45-4752-a467-30342c4b8f8d.jpg,2014-06-26 03:04:20 UTC,2014-06-26 03:04:20 UTC,Computer Science (B.Sc.Comp.),0,
80,Management Accounting,,Techmax,Rajhans,81-P439,,,150,Pune University,/uploads/book/image/80/management_accounting418fec9e-999d-41f3-a534-2e6b3567adfb.jpg,2014-06-26 03:04:21 UTC,2014-06-26 03:04:21 UTC,Bachelor of Computer Application (BCA),3,
81,Principles of Marketing,,Techmax,Kumar Rohit,81-P437,,,160,Pune University,/uploads/book/image/81/principles_of_marketing0334ee87-97e1-490d-b89e-308d2ca8d60a.jpg,2014-06-26 03:04:22 UTC,2014-06-26 03:04:22 UTC,Bachelor of Computer Application (BCA),5,
82,Advanced Database Management System,,Techmax,Shamkuwar Madhavi,978-93-5077-223-2,,,150,Pune University,/uploads/book/image/82/advanced_database_management_system199183f8-ce97-4ab3-a42b-6b49a0419998.jpg,2014-06-26 03:04:22 UTC,2014-06-26 03:04:22 UTC,Master of Computer Application (MCA),3,
83,Material Science,,Techmax,Deshpande Sunil,978-93-5077-228-7,,,265,Pune University,/uploads/book/image/83/material_science7858e97d-46f0-41ea-b2fd-8f05a97c9b8b.jpg,2014-06-26 03:04:23 UTC,2014-06-26 03:04:23 UTC,Mechanical Engg (ME),3,
84,Manufacturing Process I,,Techmax,Arora R.P.,978-93-5077-227-0,,,325,Pune University,/uploads/book/image/84/manufacturing_process_ie124fde1-3869-436b-bc14-f5b5181ce539.jpg,2014-06-26 03:04:24 UTC,2014-06-26 03:04:24 UTC,Mechanical Engg (ME),3,
85,Core Java,,Techmax,Pawar Alok,81-P450,,,260,Pune University,/uploads/book/image/85/core_java922282a0-572b-447a-b9e7-e594b8c0b7e5.jpg,2014-06-26 03:04:25 UTC,2014-06-26 03:04:25 UTC,Bachelor of Computer Application (BCA),5,
86,Internet Programming  & Cyber Law,,Techmax,Zaveri Jyotindra,81-P447,,,220,Pune University,/uploads/book/image/86/internet_programming____cyber_lawe7edbe41-66db-4d92-ba4b-67cd3807d118.jpg,2014-06-26 03:04:26 UTC,2014-06-26 03:04:26 UTC,Bachelor of Computer Application (BCA),5,
87,Thermodynamics (Online Book),,Techmax,P.R.Dongrawar,978-93-5077-229-4,,,165,Pune University,/uploads/book/image/87/thermodynamics__online_book_e97e4ad2-9b2c-481f-9320-5d2801e9a6a3.jpg,2014-06-26 03:04:27 UTC,2014-06-26 03:04:27 UTC,Mechanical Engg (ME),3,
88,Fluid Mechanics,,Techmax,Jain Indrajeet M.,978-93-5077-230-0,,,435,Pune University,/uploads/book/image/88/fluid_mechanics8b8ef95a-c7ba-47f0-9fe5-1c921a4100a9.jpg,2014-06-26 03:04:28 UTC,2014-06-26 03:04:28 UTC,Mechanical Engg (ME),3,
89,Data Srtuctures Using C,,Techmax,Aibara Firuza,81-P420,,,230,Pune University,/uploads/book/image/89/data_srtuctures_using_c24f90de6-aded-426e-825b-2852fb7631cf.jpg,2014-06-26 03:04:29 UTC,2014-06-26 03:04:29 UTC,Bachelor of Computer Application (BCA),3,
90,Operating System and Administration,,Techmax,Ansari M. A.,978-93-5077-231-7,,,345,Pune University,/uploads/book/image/90/operating_system_and_administration4f1e21fe-2a9b-4545-8d02-28eaeb4080cc.jpg,2014-06-26 03:04:29 UTC,2014-06-26 03:04:29 UTC,Comp. Sc. Engg (CSE),3,
91,Power Generation Technologies,,Techmax,Singhal B. L.,978-93-5077-235-5,,,335,Pune University,/uploads/book/image/91/power_generation_technologiesa15d5ac4-1937-4f91-8162-7078b8fb8bff.jpg,2014-06-26 03:04:30 UTC,2014-06-26 03:04:30 UTC,Electrical Engg (ELE),3,
92,Software Engineering,,Techmax,Kudale Goutam,978-81-8492-503-6,,,120,Pune University,/uploads/book/image/92/software_engineering66a163be-75fd-46d1-a13f-14aa180fd55a.jpg,2014-06-26 03:04:31 UTC,2014-06-26 03:04:31 UTC,Bachelor of Computer Application (BCA),3,
93,Data Structures & Algorithms,,Techmax,Sultania Dilip Kumar,978-93-5077-234-8,,,485,Pune University,/uploads/book/image/93/data_structures___algorithms5506a1b8-ba82-4aac-94cb-f6b2d27ad2e3.jpg,2014-06-26 03:04:32 UTC,2014-06-26 03:04:32 UTC,E & TC (ECE::E & TC),3,
94,Operating System & Administration,,Techmax,Desai Sharmishta,978-93-5077-236-2,,,215,Pune University,/uploads/book/image/94/operating_system___administration31ee3bb1-74c3-4f12-9cd1-3f629eef82f5.jpg,2014-06-26 03:04:33 UTC,2014-06-26 03:04:33 UTC,Comp. Sc. Engg (CSE),3,
