Java Programming,Techmax,Alok Pawar,Pune University,Master of Computer Application (MCA),4,978-81-8492-966-9,210,java_programmingcf797018-2b49-4da5-9de2-0bf12f4cd406.jpg,,,
Optimization Techniques,Techmax,Jawale Satish,Pune University,Master of Computer Application (MCA),4,978-81-8492-971-3,215,optimization_techniques494bd312-25a1-4b43-83ff-c16bda834eaf.jpg,,,
Object Oriented Analysis and Design,Techmax,Brahme Ashwini,Pune University,Master of Computer Application (MCA),4,978-81-8492-945-4,180,object_oriented_analysis_and_designdb8ded18-42cd-4e21-9b6e-fd038b63455f.jpg,,,
Engineering Mathematics II,Techmax,Deo S. S.,Pune University,First Year Engg (FE),2,978-93-5077-163-1,435,engineering_mathematics_ii6f4f5399-149c-4781-9bb3-0fba5b5f472b.jpg,,,
Engineering Graphics II,Techmax,Kumar Arunoday,Pune University,First Year Engg (FE),2,978-93-5077-164-8,135,engineering_graphics_iib312f490-4c47-4cf9-858b-8b4254aff041.jpg,,,
FE Online III,Techmax,General,Pune University,First Year Engg (FE),2,978-93-5077-167-9,265,fe_online__iiie2934192-baf6-4c6a-9b06-54dc654577e2.jpg,,,
Database Management System,Techmax,Padmawar Neelima V.,Pune University,Master of Computer Application (MCA),2,978-93-5077-170-9,195,database_management_system5dc9f7ce-fa5f-4e13-ad18-e7d95baafd92.jpg,,,
Operating System Concepts,Techmax,Sultania Dilip Kumar,Pune University,Master of Computer Application (MCA),2,978-93-5077-171-6,145,operating_system_concepts702b45e0-43de-486b-80bf-383babaf8f61.jpg,,,
Object Oriented Programming with C++,Techmax,Alok Pawar,Pune University,Master of Computer Application (MCA),2,978-93-5077-180-8,235,object_oriented_programming_with_c++77396632-db66-4cf7-9168-251255cf15b6.jpg,,,
Management Information System & BI,Techmax,Padmawar Neelima V.,Pune University,Master of Computer Application (MCA),2,978-93-5077-192-1,115,management_information_system_&_bied914e92-54ae-4750-ab5c-04a92baafe4a.jpg,,,
Engineering Mathematics II,Techmax,Deo S. S.,Pune University,First Year Engg (FE),2,978-93-5077-163-1,435,engineering_mathematics_ii34ebff84-b162-4608-affa-7b8aab732a17.jpg,,,
Business Houses of India,Techmax,Tapas Poornima,Pune University,Common to All Branches,0,978-81-8407-896-1PE81A,350,business_houses_of_india37cfbd79-00b5-4e4f-9886-6957b29e4171.jpg,,,
Cases in Management for Business Schools,Techmax,Pandit Mali,Pune University,Common to All Branches,0,978-81-8407-899-2PE80A,220,cases_in_management_for_business_schools39b611cb-ff4f-438d-966d-4b6123fcc5b1.jpg,,,
Enterprise Resource Planning,Techmax,Kulkarni S.,Pune University,Master of Computer Application (MCA),2,978-81-8407-897-8PME5A,110,enterprise_resource_planningf78758be-2406-48e7-a762-a179dde98343.jpg,,,
Java Programming,Techmax,Alok Pawar,Pune University,Master of Computer Application (MCA),4,978-81-8492-966-9,210,java_programming171443d3-422e-4757-9197-dfa13fb716f3.jpg,,,
Communication Principles,Techmax,Katre J. S.,Pune University,Computer Science (B.Sc.Comp.),1,81-P367,165,communication_principles6b2f281b-5c22-449d-9e66-298344cd315f.jpg,,,
Data Structures using C,Techmax,Sultania Dilip Kumar,Pune University,Computer Science (B.Sc.Comp.),1,81-P363,265,data_structures_using_c9ce77e55-7826-4246-bdc5-24ac3b0d9251.jpg,,,
Linear Algebra,Techmax,Langote U. B.,Pune University,Computer Science (B.Sc.Comp.),1,81-P390,225,linear_algebra94120fbc-cfc9-42eb-8822-b9cbcc7c57c0.jpg,,,
Microprocessor Architecture & Programming.,Techmax,Borkar Jaideep B.,Pune University,Computer Science (B.Sc.Comp.),1,81-P386,200,microprocessor_architecture_&_programming.9a205468-78b0-415e-b159-d766da5c3124.jpg,,,
Numerical Analysis,Techmax,Jawale Satish,Pune University,Computer Science (B.Sc.Comp.),1,81-P373,205,numerical_analysis1844d525-490b-40e3-8442-57b654a04c6c.jpg,,,
Relational Database Management System (RDBMS),Techmax,Pawar Alok,Pune University,Computer Science (B.Sc.Comp.),1,81-P387,185,rdbms620d473b-5368-489f-86c8-1ef11ded701a.jpg,,,
Computer Network - I,Techmax,Katre J. S.,Pune University,Computer Science (B.Sc.Comp.),3,81-P369,175,computer_network_-_i3425a44b-4391-4b08-b141-c3071e1d57a1.jpg,,,
Object Oriented  Software  Engineering,Techmax,Patil Sharada,Pune University,Computer Science (B.Sc.Comp.),3,81-P371,170,object_oriented__software__engineering35b1ac97-41f7-483b-8bd5-375a22956b57.jpg,,,
Programming In Java - I,Techmax,Alok Pawar,Pune University,Computer Science (B.Sc.Comp.),3,81-P393,195,programming_in_java_-_if9808416-5f52-4d51-b48c-7dffa7e90523.jpg,,,
System Programming & Operating System-I,Techmax,Patil Sharada,Pune University,Computer Science (B.Sc.Comp.),3,81-P388,190,system_programming_&_operating_system-icdd7684f-6ead-4f13-a847-8179b167d519.jpg,,,
Theoretical Computer Science & Compiler Construction I,Techmax,Sultania Dilip Kumar,Pune University,Computer Science (B.Sc.Comp.),3,978-81-8492-752-8,220,theoretical_computer_sci_&_compiler_construction_i43bdf6d3-8016-422c-9114-774c186a4b64.jpg,,,
Web Development & PHP Programming I,Techmax,Padmawar Neelima V.,Pune University,Computer Science (B.Sc.Comp.),3,81-P370,200,web_development_&_php_programming_id48b2a45-25aa-410b-897f-e8b14ae8561c.jpg,,,
Basic Civil and Environmental Engineering,Techmax,Londhe S. N.,Pune University,First Year Engg (FE),1,978-93-5077-066-5,285,basic_civil_and_environmental_engineering93bc06a2-40bd-4bfd-9ae1-04b37a386f64.jpg,,,
Engineering Graphics - I,Techmax,Kumar Arunoday,Pune University,First Year Engg (FE),1,978-93-5077-062-7,445,engineering_graphics_-_iafec227d-a740-4cbd-baef-22158272f4af.jpg,,,
Experiment in Applied Physics,Techmax,Mathkari Narendra L.,Pune University,First Year Engg (FE),1,978-81-8492-521-0,140,experiment_in_applied_physicse457dcca-7f32-4f16-a4b6-e531c852ef7b.jpg,,,
Fundamentals of Programming Languages-I,Techmax,Sultanpure Kavita,Pune University,First Year Engg (FE),1,978-93-5077-072-6,225,fundamentals_of_programming_languages-i30b49ba6-e68b-4fab-a9c3-af38925c16ac.jpg,,,
Network Synthesis & Filter Design,Techmax,Ahire D.B,Pune University,E & TC (ECE/E & TC),5,978-93-5077-019-1,345,network_synthesis_&_filter_designe76e7fc2-f09c-4487-87ad-e21e2559af83.jpg,,,
Digital Signal Processing,Techmax,Barapate R. A.,Pune University,E & TC (ECE/E & TC),5,81-P427,515,digital_signal_processingf2f0b7da-880c-481e-8320-9e4f439cad05.jpg,,,
Microcontrollers &Applications,Techmax,Shah Urvashi S.,Pune University,E & TC (ECE/E & TC),5,81-P413,485,microcontrollers_&applications086254fd-b803-4ca8-ad07-70d03eb38472.jpg,,,
Control Systems,Techmax,Theckedath Dhananjay,Pune University,E & TC (ECE/E & TC),5,81-P442,515,control_systems31750139-fd1d-4875-98f7-514db08162e8.jpg,,,
Digital Communications,Techmax,Katre J. S.,Pune University,E & TC (ECE/E & TC),5,81-P374,435,digital_communicationsfeabf173-c6b0-4fe1-ab0e-a56c26db82ae.jpg,,,
Digital Image Processing(Image Processing),Techmax,Theckedath Dhananjay,Pune University,Comp. Sc. Engg (CSE),7,978-81-8492-883-9,395,digital_image_processing(image_processing)d969c90f-6109-4bc5-82e1-84cfff13f63c.jpg,,,
Database Management Systems,Techmax,Sultania Dilip Kumar,Pune University,Comp. Sc. Engg (CSE),5,81-P428,265,database_management_systems403e13e9-66df-4873-830e-288e51ae1056.jpg,,,
Microprocessors and Microcontrollers,Techmax,Shah Urvashi S.,Pune University,Comp. Sc. Engg (CSE),5,81-P412,415,microprocessors_and_microcontrollersb49c92ed-4266-44b7-8f67-f8407c50fcac.jpg,,,
Data Communications,Techmax,Katre J. S.,Pune University,Comp. Sc. Engg (CSE),5,81-P375,415,data_communications7cb52b50-c727-45ac-ae9c-7a85a1d60bee.jpg,,,
Theory of Computation,Techmax,Sultania Dilip Kumar,Pune University,Comp. Sc. Engg (CSE),5,81-P398,335,theory_of_computation8c742afd-ac29-409d-a405-29356ce7d0b9.jpg,,,
Digital Signal Processing,Techmax,Barapate R. A.,Pune University,E & TC (ECE/E & TC),5,81-P427,515,digital_signal_processingbc36d449-2614-4a7d-a0fd-4a866ac706d4.jpg,,,
Object Oriented Modeling and Design,Techmax,Ansari M. A.,Pune University,Comp. Sc. Engg (CSE),7,978-81-8492-916-4,215,object_oriented_modeling_and_design24613d5c-f02b-4c64-b1c2-187ba518fa5c.jpg,,,
Artificial Intelligence,Techmax,Potgantwar Amol,Pune University,Comp. Sc. Engg (CSE),7,978-93-5077-092-4,235,artificial_intelligence7a2682aa-5b77-4460-ac32-8d1ee639d32f.jpg,,,
Theory of Computation,Techmax,Sultania Dilip Kumar,Pune University,Comp. Sc. Engg (CSE),5,81-P398,335,theory_of_computation0e08348e-11ca-4d59-9924-e546c5a24fce.jpg,,,
Computer Network Technology,Techmax,Katre J. S.,Pune University,Info. Tech (IT),5,81-P378,345,computer_network_technology07d6892a-5bcb-40db-80ab-bdfd33ff749f.jpg,,,
Object Oriented Modelling and Design,Techmax,Ansari M. A.,Pune University,Info. Tech (IT),7,978-81-8492-905-8,275,object_oriented_modelling_and_design455e78b4-1821-43d6-83d5-868361ea30b3.jpg,,,
Software Testing and Quality Assurance,Techmax,Padmawar Neelima V.,Pune University,Master of Computer Application (MCA),4,978-81-8492-970-6,190,software_testing_and_quality_assuranced780fc06-6030-469e-81cf-4140c0f31768.jpg,,,
Theory of Machines-II,Techmax,Sayyed F.B.,Pune University,Mechanical Engg (ME),5,81-P394,455,theory_of_machines-ii69f05768-4edd-4c6a-b43c-1ba1963fc955.jpg,,,
Dynamics of Machinery,Techmax,Patil R. B.,Pune University,Mechanical Engg (ME),7,978-81-8492-852-5,500,dynamics_of_machinery0907278c-9704-4702-8043-c6cc9169f054.jpg,,,
Tribology,Techmax,Patil R. B.,Pune University,Mechanical Engg (ME),7,978-81-8492-812-9,350,tribology9c675b12-d6ba-4341-90b6-bbc4c5e9812c.jpg,,,
CAD/CAM & Automation,Techmax,Patil R. B.,Pune University,Mechanical Engg (ME),7,978-81-8492-817-4,550,cad/cam_&_automation10e93e00-dd3f-4dcb-ade8-fee6c1346081.jpg,,,
Industrial Fluid Power,Techmax,Ashokkumar C.P.,Pune University,Mechanical Engg (ME),7,978-81-8492-889-1,305,industrial_fluid_powerf53dff58-acd4-4d06-90fa-2090dc672fc9.jpg,,,
Structural Design I,Techmax,Sajjan V  Wagh,Pune University,Civil Engg (CIVIL),5,978-93-5077-114-3,245,structural_design_i18d4a707-955d-4b54-a049-9c677c00ea4f.jpg,,,
Microcontroller & its Applications,Techmax,Shah Urvashi S.,Pune University,Electrical Engg (ELE),5,81-P470,365,microcontroller_&_its_applications305a84ba-e7d0-49c9-af2b-188f1b6a5758.jpg,,,
Electrical Machines II,Techmax,Chaudhari M.A.,Pune University,Electrical Engg (ELE),5,978-93-5077-121-1,340,electrical_machines_iib449cec3-9e27-4567-82f2-72acb62ec9b0.jpg,,,
Object Oriented Programming with C++,Techmax,Alok Pawar,Pune University,Master of Computer Application (MCA),2,978-93-5077-180-8,235,object_oriented_programming_with_c++3d0dcfb1-1bb0-4915-9c08-1a8d31f4ec52.jpg,,,
C  Programming,Techmax,Alok Pawar,Pune University,Master of Computer Application (MCA),1,978-81-8492-814-3,230,c__programmingd2a80b32-fa59-4bea-957b-d448e88ca484.jpg,,,
Principles & Practices of Mgmt & Org  Behavior,Techmax,Kiran Kute,Pune University,Master of Computer Application (MCA),1,978-93-5077-055-9,205,principles_&_practices_of_mgmt_&_org__behaviorb5ed4044-e135-4fe3-93f4-6b44a70326d3.jpg,,,
Discrete Mathematics,Techmax,Abhang RahulJ,Pune University,Master of Computer Application (MCA),1,978-93-5077-071-9,155,discrete_mathematics807ba9fa-a6e9-4fa1-855b-92d02b80145f.jpg,,,
Computer Organisation,Techmax,Padmawar Neelima V.,Pune University,Master of Computer Application (MCA),1,978-93-5077-089-4,175,computer_organisation8b70b38a-0ca0-4b9c-b61d-4da8424d996f.jpg,,,
Abhinavan Sustainable Strategies Dynamic Busi Env,Techmax,General,Pune University,Business Management (MBA),0,,400,abhinavan_sustainable_strategies_dynamic_busi_env0b40e482-435c-41e3-bb64-2d08fb418386.jpg,,,
Software Project Management,Techmax,Velamuri Vijaya,Pune University,Master of Computer Application (MCA),5,978-81-8492-020-8P431,135,software_project_management6f40789f-adff-4012-b693-2becf487b8cf.jpg,,,
Human Computer Interface,Techmax,Samrit Kirti,Pune University,Master of Computer Application (MCA),5,978-81-8492-790-0,155,human_computer_interface38ab70fa-ef93-402b-9432-6e591d0ce134.jpg,,,
Emerging Trends in Information Technology,Techmax,kanade Anuradha,Pune University,Master of Computer Application (MCA),5,978-81-8492-785-6,195,emerging_trends_in_information_technology8f97a313-2f38-4f92-be10-ea3de5a0c59b.jpg,,,
Advance Internet Technology,Techmax,Padmawar Neelima V.,Pune University,Master of Computer Application (MCA),5,978-81-8492-777-1,210,advance_internet_technologyb979b4b0-137a-4171-afd2-37dd494313a1.jpg,,,
Strategic Innovation in Management,Techmax,General,Pune University,Business Management (MBA),0,978-93-5077-200-3,350,strategic_innovation_in_management60be92aa-e245-4820-8669-3482e753ec85.jpg,,,
Principles of Digital Electronics,Techmax,Katre J. S.,Pune University,Computer Science (B.Sc.Comp.),0,978-93-5077-221-8,185,principles_of_digital_electronics7f32822e-aa27-4276-8fa0-3e1e571a641e.jpg,,,
Principles of Analog Electronics,Techmax,Katre J. S.,Pune University,Computer Science (B.Sc.Comp.),0,978-93-5077-222-5,205,principles_of_analog_electronicsd16324c3-4a45-4752-a467-30342c4b8f8d.jpg,,,
Management Accounting,Techmax,Rajhans,Pune University,Bachelor of Computer Application (BCA),3,81-P439,150,management_accounting418fec9e-999d-41f3-a534-2e6b3567adfb.jpg,,,
Principles of Marketing,Techmax,Kumar Rohit,Pune University,Bachelor of Computer Application (BCA),5,81-P437,160,principles_of_marketing0334ee87-97e1-490d-b89e-308d2ca8d60a.jpg,,,
Advanced Database Management System,Techmax,Shamkuwar Madhavi,Pune University,Master of Computer Application (MCA),3,978-93-5077-223-2,150,advanced_database_management_system199183f8-ce97-4ab3-a42b-6b49a0419998.jpg,,,
Material Science,Techmax,Deshpande Sunil,Pune University,Mechanical Engg (ME),3,978-93-5077-228-7,265,material_science7858e97d-46f0-41ea-b2fd-8f05a97c9b8b.jpg,,,
Manufacturing Process I,Techmax,Arora R.P.,Pune University,Mechanical Engg (ME),3,978-93-5077-227-0,325,manufacturing_process_ie124fde1-3869-436b-bc14-f5b5181ce539.jpg,,,
Core Java,Techmax,Pawar Alok,Pune University,Bachelor of Computer Application (BCA),5,81-P450,260,core_java922282a0-572b-447a-b9e7-e594b8c0b7e5.jpg,,,
Internet Programming  & Cyber Law,Techmax,Zaveri Jyotindra,Pune University,Bachelor of Computer Application (BCA),5,81-P447,220,internet_programming__&_cyber_lawe7edbe41-66db-4d92-ba4b-67cd3807d118.jpg,,,
Thermodynamics (Online Book),Techmax,P.R.Dongrawar,Pune University,Mechanical Engg (ME),3,978-93-5077-229-4,165,thermodynamics_(online_book)e97e4ad2-9b2c-481f-9320-5d2801e9a6a3.jpg,,,
Fluid Mechanics,Techmax,Jain Indrajeet M.,Pune University,Mechanical Engg (ME),3,978-93-5077-230-0,435,fluid_mechanics8b8ef95a-c7ba-47f0-9fe5-1c921a4100a9.jpg,,,
Data Srtuctures Using C,Techmax,Aibara Firuza,Pune University,Bachelor of Computer Application (BCA),3,81-P420,230,data_srtuctures_using_c24f90de6-aded-426e-825b-2852fb7631cf.jpg,,,
Operating System and Administration,Techmax,Ansari M. A.,Pune University,Comp. Sc. Engg (CSE),3,978-93-5077-231-7,345,operating_system_and_administration4f1e21fe-2a9b-4545-8d02-28eaeb4080cc.jpg,,,
Power Generation Technologies,Techmax,Singhal B. L.,Pune University,Electrical Engg (ELE),3,978-93-5077-235-5,335,power_generation_technologiesa15d5ac4-1937-4f91-8162-7078b8fb8bff.jpg,,,
Software Engineering,Techmax,Kudale Goutam,Pune University,Bachelor of Computer Application (BCA),3,978-81-8492-503-6,120,software_engineering66a163be-75fd-46d1-a13f-14aa180fd55a.jpg,,,
Data Structures & Algorithms,Techmax,Sultania Dilip Kumar,Pune University,E & TC (ECE/E & TC),3,978-93-5077-234-8,485,data_structures_&_algorithms5506a1b8-ba82-4aac-94cb-f6b2d27ad2e3.jpg,,,
Operating System & Administration,Techmax,Desai Sharmishta,Pune University,Comp. Sc. Engg (CSE),3,978-93-5077-236-2,215,operating_system_&_administration31ee3bb1-74c3-4f12-9cd1-3f629eef82f5.jpg,,,
Electrical Measurements & Instrumentation,Techmax,Talange D.B.,Pune University,Electrical Engg (ELE),3,978-93-5077-237-9,295,electrical_measurements_&_instrumentation369f1835-e1bb-4555-892f-6e66b9e7621c.jpg,,,
Thermodynamics,Techmax,Singhal B. L.,Pune University,Mechanical Engg (ME),3,978-93-5077-238-6,425,thermodynamicscd0561a7-826c-41c3-9fe4-566445c2ea73.jpg,,,
Electronic Devices and Circuits,Techmax,Katre J. S.,Pune University,E & TC (ECE/E & TC),3,978-93-5077-232-4,425,electronic_devices_and_circuits703de674-e386-445a-b8c2-25522b3075f4.jpg,,,
Signal and Systems,Techmax,Katre J. S.,Pune University,E & TC (ECE/E & TC),3,978-93-5077-233-1,485,signal_and_systemsa0c839fe-4780-4a1d-9006-696963d96c84.jpg,,,
Digital Electronics,Techmax,Katre J. S.,Pune University,E & TC (ECE/E & TC),3,978-93-5077-224-9,445,digital_electronics5c8992e0-f9a0-421a-ad33-4b3d162677f3.jpg,,,
Digital Electronics and Logic Design,Techmax,Katre J. S.,Pune University,Comp. Sc. Engg (CSE),3,978-93-5077-225-6,465,digital_electronics_and_logic_design9ef4e8b8-afcc-451e-8503-7f109e6350ff.jpg,,,
Computer Organization,Techmax,Sultania Dilip Kumar,Pune University,Info. Tech (IT),3,978-93-5077-239-3,365,computer_organizationbe3087ae-cffd-4dbd-a2ee-2bcb996d77d1.jpg,,,
Digital Electronics and Logic Design,Techmax,Katre J. S.,Pune University,Comp. Sc. Engg (CSE),3,978-93-5077-225-6,465,digital_electronics_and_logic_design51d9237e-15ca-4da0-a4b5-2ded49825f64.jpg,,,
Fundamentals of Data Structures,Techmax,Sultania Dilip Kumar,Pune University,Info. Tech (IT),3,978-93-5077-240-9,445,fundamentals_of_data_structures7e24ece2-7b92-4bb8-98d3-3f4ce84b618c.jpg,,,
Network Theory,Techmax,Katre J. S.,Pune University,E & TC (ECE/E & TC),3,978-93-5077-241-6,485,network_theoryd1db1355-fb68-41d1-992d-f5a205b05ba0.jpg,,,
Numerical Methods,Techmax,Khan Atiya Jaweed,Pune University,Bachelor of Computer Application (BCA),3,81- P283,210,numerical_methods515b9398-5020-41de-acb4-8d0cfa306a6d.jpg,,,
Problem Solving Using Computers and C Programming,Techmax,Patil Sharada,Pune University,Computer Science (B.Sc.Comp.),0,978-93-5077-243-0,245,problem_solving_using_computers_and_c_programming67c5cd43-c22b-46f7-b4bd-ea3c3c52e712.jpg,,,
Statistical Methods II,Techmax,Rajput Nanda,Pune University,Computer Science (B.Sc.Comp.),0,978-93-5077-244-7,185,statistical_methods_ii4508da5c-f188-46ca-b1f1-d2db3230fb8a.jpg,,,
Analog and Digital Electronics,Techmax,Katre J. S.,Pune University,Electrical Engg (ELE),3,978-93-5077-242-3,365,analog_and_digital_electronics084c0495-1a44-4809-b778-70a210788d07.jpg,,,
Material Science,Techmax,Deshpande Sunil,Pune University,Mechanical Engg (ME),3,978-93-5077-228-7,265,material_science13c72163-fd48-4e94-8bdc-8299082c964e.jpg,,,
Thermodynamics,Techmax,Singhal B. L.,Pune University,Mechanical Engg (ME),3,978-93-5077-238-6,425,thermodynamicsdd3e855a-664d-4e73-9458-bf7b389ded9d.jpg,,,
Microprocessor Architecture,Techmax,Shah Urvashi S.,Pune University,Comp. Sc. Engg (CSE),3,978-93-5077-247-8,385,microprocessor_architecture429b9319-01a1-4f87-a6e9-16851aa22bc6.jpg,,,
Discrete Mathematics,Techmax,Langote U. B.,Pune University,Computer Science (B.Sc.Comp.),0,978-93-5077-248-5,245,discrete_mathematics87e1c8da-62c0-413c-96c3-f0b95e6c6b0d.jpg,,,
Statistical Methods I,Techmax,Deshpande Bhavana,Pune University,Computer Science (B.Sc.Comp.),0,978-93-5077-250-8,245,statistical_methods_ib4d3e256-9087-4d19-9213-145d74e3938a.jpg,,,
VB. Net  Programming,Techmax,Kudale Ankush,Pune University,Bachelor of Computer Application (BCA),5,81-P441,190,vb._net__programmingaa4e0ab6-78a6-490b-ac21-ca6a48febef9.jpg,,,
Algebra and Calculus,Techmax,Palve Madhukar,Pune University,Computer Science (B.Sc.Comp.),0,978-93-5077-251-5,225,algebra_and_calculusd24db549-6355-4249-b822-ac3822e68c37.jpg,,,
Building Technology and Materials,Techmax,Kumavat V. K.,Pune University,Civil Engg (CIVIL),3,978-93-5077-254-6,425,building_technology_and_materials33c0e51a-39a2-44fd-b1c5-e63ce2fe10e1.jpg,,,
Web Technologies,Techmax,Padmawar Neelima V.,Pune University,Master of Computer Application (MCA),3,978-93-5077-256-0,205,web_technologies0612c2fc-a072-4c4f-bcc8-c90e09d7498a.jpg,,,
Data Structures and Problem Solving,Techmax,Sultania Dilip Kumar,Pune University,Comp. Sc. Engg (CSE),3,978-93-5077-257-7,495,data_structures_and_problem_solving1ecbcf7d-8cc1-4e17-80ad-ab17789117d7.jpg,,,
Problem Solving and Object Oriented Programming,Techmax,Desai Sharmishta,Pune University,Info. Tech (IT),3,978-93-5077-255-3,285,problem_solving_and_object_oriented_programming78fa8d6d-e7b8-40c6-99fd-6fce585ddfed.jpg,,,
Finanacial Accounting,Techmax,Chhagani Girish,Pune University,Bachelor of Computer Application (BCA),1,978-93-5077-259-1,195,finanacial_accountingc3e46fc5-4e6c-41be-ae6a-cf170a337341.jpg,,,
File Organisation and Fundamental of Database,Techmax,Alok Pawar,Pune University,Computer Science (B.Sc.Comp.),0,978-93-5077-260-7,185,file_organisation_and_fundamental_of_database92d4ba62-954c-4ca3-8ac3-ce7b756b67e6.jpg,,,
Digital Electronics,Techmax,Katre J. S.,Pune University,E & TC (ECE/E & TC),3,978-93-5077-224-9,445,digital_electronics534d3b2c-56d1-4ac0-81a8-c909744c121f.jpg,,,
Modern Operating Environment and MS Office,Techmax,Alok Pawar,Pune University,Bachelor of Computer Application (BCA),1,978-93-5077-262-1,210,modern_operating_environment_and_ms_officecc634c5c-d6bd-4921-9b29-ccd275ffb1aa.jpg,,,
Business Communication,Techmax,Kalkar Anjali,Pune University,Bachelor of Computer Application (BCA),1,978-93-5077-275-1,120,business_communication4b62d2e6-fd37-4487-9d4f-f578409c780d.jpg,,,
Engineering Mathematics III,Techmax,Mitkari Santosh,Pune University,Mechanical Engg (ME),3,978-93-5077-278-2,135,engineering_mathematics_iiie15bb639-8021-475f-ae44-650e0c1cc63b.jpg,,,
Principles of Management,Techmax,Kalkar Anjali,Pune University,Bachelor of Computer Application (BCA),1,978-93-5077-282-9,140,principles_of_managementbd7532f9-a6f5-4ff3-8ad5-49c3ae0cf9df.jpg,,,
Engineering Mathematics  III,Techmax,Mitkari Santosh,Pune University,Civil Engg (CIVIL),3,978-93-5077-291-1,135,engineering_mathematics__iiicdcf1162-8b19-41d1-b12d-9bc04574e9a6.jpg,,,
Thermodynamics,Techmax,Singhal B. L.,Pune University,Mechanical Engg (ME),3,978-93-5077-238-6,425,thermodynamics057389a2-3a6a-477b-bab0-c7750b19db11.jpg,,,
Principles of Programming and Algorithm,Techmax,Alok Pawar,Pune University,Bachelor of Computer Application (BCA),1,978-93-5077-295-9,110,principles_of_programming_and_algorithm8e42a888-246d-4449-8451-d037d04ee3a6.jpg,,,
Analog and Digital Electronics,Techmax,Katre J. S.,Pune University,Electrical Engg (ELE),3,978-93-5077-242-3,365,analog_and_digital_electronics053eec80-9249-47c2-9e29-e8d65337e3d7.jpg,,,
